occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,4.114285714285714,0.0,21.915852701371254,0.0,1.6120208985155313,1.2470652215819575,4.324164285714287,1.4650781656167966,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:27:00.0
1.0,4.114285714285714,0.0,21.920780494244777,0.0,1.6124671347991932,1.2474104315916266,4.324164285714287,1.464286719323466,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:28:00.0
1.0,4.114285714285714,0.0,21.925705625087364,0.0,1.6129131300226438,1.2477554551162402,4.324164285714287,1.463495700575402,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:29:00.0
1.0,4.114285714285714,0.0,21.930628095337056,0.0,1.6133588843161049,1.2481002922565394,4.324164285714287,1.4627051091416414,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:30:00.0
1.0,4.114285714285714,0.0,21.935547906431143,0.0,1.6138043978097294,1.2484449431132099,4.324164285714287,1.4619149447913462,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:31:00.0
1.0,4.114285714285714,0.0,21.940465059806098,0.0,1.6142496706335987,1.2487894077868842,4.324164285714287,1.4611252072938028,18.705650058155445,0.0,0.0,0.0,0.0,2.164319926846403,0.5714285714285714,0.42857142857142855,0.0,1.1389795005627101,2023-01-23T04:32:00.0
1.0,4.1,0.0,21.94537955689766,0.0,1.6159883457748678,1.2501344531906393,4.3178785714285715,1.4517557724630645,18.707531557881772,0.0,0.0,0.0,0.0,2.162739214590941,0.5714285714285714,0.42857142857142855,0.0,1.1382417591791791,2023-01-23T04:33:00.0
1.0,4.1,0.0,21.95026253987941,0.0,1.61643052429878,1.2504765241026288,4.3178785714285715,1.4509715230271623,18.707531557881772,0.0,0.0,0.0,0.0,2.162739214590941,0.5714285714285714,0.42857142857142855,0.0,1.1382417591791791,2023-01-23T04:34:00.0
1.0,4.1,0.0,21.95514288503686,0.0,1.6168724639545133,1.250818410225328,4.3178785714285715,1.4501876972487306,18.707531557881772,0.0,0.0,0.0,0.0,2.162739214590941,0.5714285714285714,0.42857142857142855,0.0,1.1382417591791791,2023-01-23T04:35:00.0
1.0,4.1,0.0,21.960020593794997,0.0,1.6173141648711058,1.2511601116585602,4.3178785714285715,1.4494042948989052,18.707531557881772,0.0,0.0,0.0,0.0,2.162739214590941,0.5714285714285714,0.42857142857142855,0.0,1.1382417591791791,2023-01-23T04:36:00.0
1.0,4.1,0.0,21.964895667578,0.0,1.6177556271775264,1.251501628502097,4.3178785714285715,1.4486213157489483,18.707531557881772,0.0,0.0,0.0,0.0,2.162739214590941,0.5714285714285714,0.42857142857142855,0.0,1.1382417591791791,2023-01-23T04:37:00.0
