occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,23.414285714285715,24.1774362916179,22.22005847782324,0.6544550469283976,-0.10814324739785952,-0.08366000893846648,11.34142857142857,0.8462583032647236,0.0,11.338841819652227,46.60517583470169,1.0,4.547370620945675,0.0,1.0,1.0,1.0,2.505820686366249,2023-01-23T19:01:00.0
1.0,23.400000000000002,24.94051923951139,22.222904869049216,0.6995239636417158,-0.10659184958324792,-0.08245984195476178,11.34,0.8885756551797254,0.0,11.336408565709354,46.605603448275865,1.0,4.545785080826148,0.0,1.0,1.0,1.0,2.506391598006507,2023-01-23T19:02:00.0
1.0,23.400000000000002,25.70343843394388,22.225893594759523,0.7123527470376175,-0.10632120552655147,-0.08225047072958423,11.34,0.9009244232937533,0.0,11.335404287702316,46.605603448275865,1.0,4.545785080826148,0.0,1.0,1.0,1.0,2.506391598006507,2023-01-23T19:03:00.0
1.0,23.400000000000002,26.466290042335896,22.22892385557214,0.7723367144496809,-0.10604680025866488,-0.08203818981777014,11.34,0.9604217045261159,0.0,11.334400153903156,46.605603448275865,1.0,4.545785080826148,0.0,1.0,1.0,1.0,2.506391598006507,2023-01-23T19:04:00.0
1.0,23.400000000000002,27.22907407439237,22.232154235590226,0.8608740222903897,-0.10575427319612718,-0.08181188981979974,11.34,1.0484401853063163,0.0,11.333396373874185,46.605603448275865,1.0,4.545785080826148,0.0,1.0,1.0,1.0,2.506391598006507,2023-01-23T19:05:00.0
1.0,23.37142857142857,27.991790553921362,22.235680665916412,0.9165014618076764,-0.10284765158365337,-0.07956331678420667,11.337142857142855,1.0989124301755364,0.0,11.32953593150352,46.6064586754242,1.0,4.542495869808692,0.0,1.0,1.0,1.0,2.507515148441482,2023-01-23T19:06:00.0
1.0,23.37142857142857,28.754247232864795,22.239376859723084,1.0009967391960166,-0.10251294275349,-0.0793043848176065,11.337142857142855,1.1828140667671132,0.0,11.328533199675807,46.6064586754242,1.0,4.542495869808692,0.0,1.0,1.0,1.0,2.507515148441482,2023-01-23T19:07:00.0
1.0,23.342857142857138,29.516636429822743,22.243355256825517,1.0462499528156035,-0.099565393289594,-0.07702414984751264,11.334285714285715,1.2228394959527102,0.0,11.324673787113811,46.60731390257252,1.0,4.5391082425785205,0.0,1.0,1.0,1.0,2.508626177395431,2023-01-23T19:08:00.0
1.0,23.342857142857138,30.27876589549933,22.247468279526313,1.0587543129757062,-0.09919293851892348,-0.07673601748425164,11.334285714285715,1.2346832689788816,0.0,11.323672038567084,46.60731390257252,1.0,4.5391082425785205,0.0,1.0,1.0,1.0,2.508626177395431,2023-01-23T19:09:00.0
1.0,23.342857142857138,31.04082794536342,22.251621138777598,1.0572160716031305,-0.09881687634942357,-0.07644509442415492,11.334285714285715,1.2324780423767088,0.0,11.322670431758572,46.60731390257252,1.0,4.5391082425785205,0.0,1.0,1.0,1.0,2.508626177395431,2023-01-23T19:10:00.0
